,file_name,Model,Dataclass,Results Testset.accuracy_test,Results Testset.accuracy_train,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Results Testset.precision_test,Results Testset.recall_test,Config.LEARNING_RATE
18,0002.json,Depth_First_GRU,SentimentPriceXPriceY,0.5280935368626177,0.5025503762436241,0.5495098039215687,0.0,0.0,0.0,0.0,0.0005709974688193469
130,0003.json,Deeper_Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5024493712438766,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.00495293460911028
129,0002.json,Deeper_Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5019443462451392,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.007637218554466383
43,0004.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.4842481325105554,0.5017423362456441,0.4647058823529412,0.6153100775193798,0.014741356700643249,0.4747663551401869,0.8740536820371645,0.009272429637315434
15,0009.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5016413312458967,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.009191612659524912
33,0005.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.5280935368626177,0.5012878137467804,0.5490196078431373,0.0013745704467353953,0.0014347435446346191,0.5,0.0006882312456985547,0.00830848392969234
89,0004.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.4822994478726859,0.499015201252462,0.4852941176470588,0.49620733249051835,-0.029370798182523413,0.45879602571595557,0.5402615278733655,0.009676199276117995
90,0003.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.47190646313738227,0.499015201252462,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.006599328060404043
2,0002.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.47190646313738227,0.498813191252967,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.00915543703129084
47,0010.json,LSTM_v1,TweetXPriceY,,,,,,,,0.0003702615585519312
48,0011.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00011197348460012947
